Id,Question,Response1,Response2,Response3,Response4,Answer
0,What planet is Luke Skywalker from?,Hoth,Dantooine,Yavin,Tatooine,4
1,Who killed Qui-Gon Jinn?,Darth Vader,Darth Maul,Darth Tyranus,Darth Sidious,2
2,Who becomes Darth Vader?,Anakin Skywalker,Obi-Wan Kenobi,Count Dooku,Sifo-Dyas,1
3,Who destorys the Second Death Star?,Luke Skywalker and R2-D2,Han Solo and Chewbacca,Princess Leia and C-3P0,Wedge Antilles and Lando Calrissian,4
4,Who was Darth Sidious's master?,Darth Malek,Darth Revan,Darth Plagueis,Darth Bane,3
5,Which Jedi was never a master?,Mace Windu,Kit Fisto,Yoda,Quinlan Vos,4
6,What squadron was Luke Skywalker in?,Rouge Squadron,Red Squadron,Ghost Squadron,Black Squadron,1
7,Who did NOT die in the Battle of Yavin?,Biggs Darklighter,Wedge Antilles,Jek Tono Porkins,All those workers on the Death Star,2
8,What color is Mace Windu's lightsaber,Blue,Yellow,Green,Purple,4
9,What species is Darth Maul?,Wookie,Human,Zabrak,Dug,3
10,Who killed Darth Sidious?,Darth Vader,Luke Skywalker,Han Solo,Leia Organa,1
11,What is Kylo Ren's real name?,Ben Solo,Greedo,Anakin Skywalker,Finn,1
12,Who kills Han Solo,Supreme Leader Snoke,Kylo Ren,Captain Phasma,BB-8,2
13,What planet did the Death Star destroy?,Hoth,Naboo,Alderaan,Dagobah,3
14,Who stole the Death Star plans?,Boba Fett,Owen Lars,Jyn Erso,Obi-Wan Kenobi,3
15,What type of ship does Poe Dameron fly?,Y-Wing,A-Wing,B-Wing,X-Wing,4
16,Who uses the Force against Kylo Ren?,Han Solo,Luke Skywalker,Leia Organa,Rey,4
17,What planet is Luke Skywalker on during his exile?,Tatooine,Dagobah,Acho-To,Jeduh,3
18,Who built C-3P0?,Anakin Skywalker,Obi-Wan Kenobi,The Empire,The First Order,1
19,Who are Rey's parents?,No Idea,I'll tell you after the new one,Jabba?,Obi-Wan Kenobi,2
